"user_id","dt","ad_network"
"74793686a6268281","2021-02-01","FB"
"6986c3d2188caf4b","2021-02-01","FB"
"d9a79c634cc6df36","2021-02-01","FB"
"b3b0c361708b69a9","2021-02-01","FB"
"48ddcd54a6844b70","2021-02-01","FB"
"dca8f3fc6921a1af","2021-02-01","FB"
"f999ba11dc2f2101","2021-02-01","FB"
"811db95702c1a405","2021-02-01","FB"
"b0f294506618160d","2021-02-01","FB"
"b1b531144a7cd0f7","2021-02-01","FB"
"22105541d5a9dbac","2021-02-01","FB"
"3cbdd529d43836c4","2021-02-01","FB"
"99881763d74bc96f","2021-02-01","FB"
"50db0c5363930f54","2021-02-01","FB"
"fd46f571a5dd2da4","2021-02-01","FB"
"da87cbb17474bfbf","2021-02-01","FB"
"c1afc9025c341b26","2021-02-01","FB"
"14762d961ff1f3a7","2021-02-01","FB"
"7051ba76330dda60","2021-02-01","FB"
"4f537411fa3a97cf","2021-02-01","FB"
"8ad712099016f74d","2021-02-01","FB"
"d62aa21b2641907d","2021-02-01","FB"
"4540cb84d8d13860","2021-02-01","FB"
"bf71c98d799baf4d","2021-02-01","FB"
"9a1b358508fadbc9","2021-02-01","FB"
"57d7c63735112f88","2021-02-01","FB"
"b16688d3a05a1d09","2021-02-01","FB"
"a9fac223214f9115","2021-02-01","FB"
"0f1530f4b8f4cc57","2021-02-01","FB"
"7f0bd0772139fba0","2021-02-01","FB"
"4d29949922270fc6","2021-02-01","FB"
"d2196132cc68d0b1","2021-02-01","FB"
"c75dd605376acf39","2021-02-01","FB"
"237cf9c2666949bf","2021-02-01","FB"
"100b1727753bc157","2021-02-01","FB"
"5bf9c54b2829971b","2021-02-01","FB"
"fb1b6f9ddc3ddd6d","2021-02-01","FB"
"87941f12fd927c78","2021-02-01","FB"
"3b053759f6756038","2021-02-01","FB"
"02cb951835c1150b","2021-02-01","FB"
"04f80b08023f2caf","2021-02-01","FB"
"ba43970835b55827","2021-02-01","FB"
"01fc99d69680d233","2021-02-01","FB"
"33937909dd4d3dc8","2021-02-01","FB"
"73911b3fab5b3a6b","2021-02-01","FB"
"346bd0310fad3b98","2021-02-01","FB"
"90c5cd662867c634","2021-02-01","FB"
"64ab560caf6004c0","2021-02-01","FB"
"40dcfd32dc038059","2021-02-01","FB"
"64b5c71f943f4916","2021-02-01","FB"
"355899b0c0ab2a0c","2021-02-01","FB"
"6546ba92da908341","2021-02-01","FB"
"919c998d9bc84493","2021-02-01","FB"
"ab0ac7133a4dc46a","2021-02-01","FB"
"d96cd1d8883c0044","2021-02-01","FB"
"120d2431217fc83a","2021-02-01","FB"
"461dc1d4fb52fa67","2021-02-01","FB"
"b0bb337d7258c1f7","2021-02-01","FB"
"6104f3c311393cc6","2021-02-01","FB"
"1619486b36ba1808","2021-02-01","FB"
"c1634c27424b1bd3","2021-02-01","FB"
"bb6d8f2f8a80cc88","2021-02-01","FB"
"cd275d7c4f49ca64","2021-02-01","FB"
"974470bd6a63ad11","2021-02-01","FB"
"5b18a3c77d634781","2021-02-01","FB"
"a227f434cf0f9237","2021-02-01","FB"
"7979ab6537223658","2021-02-01","FB"
"acfff29d69b6d384","2021-02-01","FB"
"8d46486853bf291b","2021-02-01","FB"
"7aa18b37dbda420f","2021-02-01","FB"
"adf97149ca05773f","2021-02-01","FB"
"46d6cc0c8d71c9c1","2021-02-01","FB"
"d0b991156644b56d","2021-02-01","FB"
"567a1fd11fb58d1d","2021-02-01","FB"
"36c6dda636f9f763","2021-02-01","FB"
"0c274d05fac81bbd","2021-02-01","FB"
"2105c5b3f07b17b8","2021-02-01","FB"
"461bcbd26b802311","2021-02-01","FB"
"2a15394322378b02","2021-02-01","FB"
"bcfc0b809da5080b","2021-02-01","FB"
"9f6631aa23751849","2021-02-01","FB"
"929f553a26ba0407","2021-02-01","FB"
"2aacb11028843a6a","2021-02-01","FB"
"2102924010b53426","2021-02-01","FB"
"521296aa152ff0cb","2021-02-01","FB"
"b3c118dfb1630203","2021-02-01","FB"
"1dc6c2459da62ba5","2021-02-01","FB"
"50968875c3ad7337","2021-02-01","FB"
"96b0c8cb212cb6d4","2021-02-01","FB"
"c3596ff88cfc2c29","2021-02-01","FB"
